Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,7430768.54,341227.96,997126.20,4551,0,4001,0,8273,0,648,0,37,0.8325431560168783,6060
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,13769728.43,343284.12,132480.00,4245,0,1710,0,10238,0,1514,0,52,0.9243687522991612,13344
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,3284802.32,88344.18,13250.00,1492,0,2203,0,3506,0,146,0,12,0.73085515717502,1368
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9781546.97,5832232.16,5316048.00,5231,0,4036,0,12383,0,1531,0,37,0.9214759094180768,15696
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2784378.90,962642.54,2316066.00,754,0,323,0,1668,0,393,0,42,0.4112205450623666,8412
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2053109.11,605413.02,1614127.00,783,0,371,0,1908,0,352,0,12,0.9605269805413923,3228
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,559030.11,590312.50,200501.55,599,0,444,0,1217,0,152,0,17,0.9385942577686135,1836
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1116435.92,663844.26,288429.04,580,0,375,0,1350,0,209,0,18,0.9150768208685852,2040
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,488874.34,175041.64,281025.59,231,0,98,0,603,0,135,0,14,0.9490003583232056,1068
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,10487690.19,0.00,0,3331,0,1528,0,7920,0,1341,38,0.9732068688804375,14088
